@relation 'dataset_Monilla-weka.filters.unsupervised.attribute.Remove-R1-2,12-13,21-25,27-weka.filters.unsupervised.attribute.Remove-R7'

@attribute edad numeric
@attribute E1 numeric
@attribute E2 numeric
@attribute E3 numeric
@attribute E4 numeric
@attribute E5 numeric
@attribute grade_monilla numeric
@attribute qq numeric
@attribute Evapotranspiration_Crop numeric
@attribute Nvdi numeric
@attribute Relat_Hum_Max_Temp numeric
@attribute Temp_Air_Max numeric
@attribute Temp_Air_Min numeric
@attribute Dew_Temp_Max numeric
@attribute Precipitacion numeric
@attribute Sunshine_Duration numeric

@data
13,61,41,37,0,0,0,12.926,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
12,68,47,24,0,0,0,13.837,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
13,71,73,49,0,0,0,6.038,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
12,47,48,30,0,0,0,19.547,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
12,67,93,67,0,0,0,9.763,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
12,29,39,36,0,0,0,22.795,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
12,28,33,49,0,0,0,15.672,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
12,60,68,63,0,0,0,29.784,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
2,35,9,5,0,0,0,5.082,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
13,79,90,88,0,0,0,12.643,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
13,52,57,62,0,0,0,28.614,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
13,50,50,45,0,0,1,32.651,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
13,32,32,44,0,0,0,31.74,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
13,36,46,45,0,0,0,9.484,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
13,65,56,67,0,0,0,13.25,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
12,41,50,39,0,0,0,9.14,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
13,58,68,64,0,0,0,15.91,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
12,52,33,34,0,0,0,18.02,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,46,38,57,0,0,0,17.012,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
12,36,28,26,0,0,0,41.852,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
12,48,49,69,0,0,0,13.064,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,17,17,17,0,0,0,8.431,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,22,30,41,0,0,0,16.048,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
12,48,53,54,0,0,0,25.455,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
12,33,37,36,0,0,0,6.88,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
12,27,24,30,0,0,0,7.443,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
2,19,20,27,0,0,0,2.531,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,47,27,27,0,0,0,22.568,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
12,86,74,55,0,0,0,14.619,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,55,43,27,0,0,0,19.903,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,29,15,16,0,0,0,14.254,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
